week,pm2.5,weekly_sum_pm2.5
27/12/2009,72.97916667,3503
03/01/2010,77.53571429,13026
10/01/2010,65,10920
17/01/2010,144.3540373,23241
24/01/2010,68.76851852,7427
31/01/2010,65.75595238,11047
07/02/2010,81.77380952,13738
14/02/2010,95.00598802,15866
21/02/2010,140.0535714,23529
28/02/2010,93.8452381,15766
07/03/2010,70.875,11907
14/03/2010,114.746988,19048
21/03/2010,73.36526946,12252
28/03/2010,101,13534
04/04/2010,85.70833333,14399
11/04/2010,103.3035714,17355
18/04/2010,103.6130952,17407
25/04/2010,36.79166667,6181
02/05/2010,99.19047619,16664
09/05/2010,81.75,13734
16/05/2010,84.0060241,13945
23/05/2010,92.41717791,15064
30/05/2010,88.11607143,9869
06/06/2010,89.29473684,8483
13/06/2010,91.16666667,15316
20/06/2010,109.8169014,15594
27/06/2010,122.8690476,20642
04/07/2010,62.14880952,10441
11/07/2010,147.5357143,24786
18/07/2010,124.1369048,20855
25/07/2010,181.952381,30568
01/08/2010,71.25,11970
08/08/2010,136.4928571,19109
15/08/2010,125.40625,16052
22/08/2010,67.4702381,11335
29/08/2010,97.73214286,16419
05/09/2010,125.2763158,19042
12/09/2010,149.1547619,25058
19/09/2010,76.02083333,3649
26/09/2010,132.4038462,6885
03/10/2010,211.8690476,35594
10/10/2010,100.3855422,16664
17/10/2010,111.0357143,18654
24/10/2010,56.08928571,9423
31/10/2010,121.5614035,13858
07/11/2010,61.55357143,10341
14/11/2010,226.4940476,38051
21/11/2010,103.2650602,17142
28/11/2010,167.0357143,28062
05/12/2010,76.69047619,12884
12/12/2010,87.19047619,14648
19/12/2010,150.797619,25334
26/12/2010,38.5625,5553
02/01/2011,63.9375,10230
09/01/2011,51.859375,6638
16/01/2011,40.23214286,6759
23/01/2011,31.80357143,5343
30/01/2011,69.07142857,11604
06/02/2011,82.25595238,13819
13/02/2011,167.0416667,28063
20/02/2011,278.875,46851
27/02/2011,42.74404762,7181
06/03/2011,73,11607
13/03/2011,70.38461538,8235
20/03/2011,26.22834646,3331
27/03/2011,67.63513514,10010
03/04/2011,142.3157895,13520
10/04/2011,83.36290323,10337
